,A,Average Aggregation Delay (ms),IoT Device Battery (V),Data per Packet,B,Goodput (B/s),G/T (%),Packet Loss (%),Received Packets,Sent Packets,Gateway Received Packets (pps),Router Received Packet (pps),Sampling Interval (s),C,Throughput (B/s),Topology,AB,AC,BC,ABC
84,-1,54.32828924833492,2.553471555555557,10,1,8408.0,76.19047619047619,0.020888720091151003,1051,10532,105.1,1053.2,10,-1,11035.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
85,-1,54.00381828571429,2.545981081081083,10,1,7000.0,76.19047619047619,0.009134505594884,875,8758,87.5,875.8,10,-1,9187.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
86,-1,47.71155838041431,2.546560273972606,10,1,8496.0,76.19047619047619,0.020672805863559,1062,10642,106.2,1064.2,10,-1,11151.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
87,-1,50.41001225740552,2.548029347826087,10,1,7832.0,76.19047619047619,0.021404545917847,979,9811,97.9,981.1,10,-1,10279.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
88,-1,52.894419551934824,2.545616315789474,10,1,7856.0,76.19047619047619,0.020325203252032003,982,9840,98.2,984.0,10,-1,10311.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
89,-1,58.972216035634744,2.541767156862748,10,1,7184.0,76.19047619047619,0.015565932844118,898,8994,89.8,899.4,10,-1,9429.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
90,-1,51.18709726443769,2.5475758974358973,10,1,7896.0,76.19047619047619,0.020222446916076,987,9890,98.7,989.0,10,-1,10363.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
91,-1,58.65391137724551,2.548839072847683,10,1,6680.0,76.19047619047619,0.020317915620892,835,8367,83.5,836.7,10,-1,8767.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
92,-1,49.863515212981746,2.5483855614973283,10,1,7888.0,76.19047619047619,0.019232715861929,986,9879,98.6,987.9,10,-1,10353.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
93,-1,45.836388510223955,2.548617224880384,10,1,8216.0,76.19047619047619,0.023314552166311002,1027,10294,102.7,1029.4,10,-1,10783.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
94,-1,58.00010245183888,2.545812840466928,10,1,9136.0,76.19047619047619,0.020099624224416003,1142,11443,114.2,1144.3,10,-1,11991.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
95,-1,62.708287790697675,2.544754166666669,10,1,8256.0,76.19047619047619,0.013547513063674,1032,10334,103.2,1033.4,10,-1,10836.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
96,-1,52.28253490870032,2.54235892857143,10,1,7448.0,76.19047619047619,0.015015015015014002,931,9324,93.1,932.4,10,-1,9775.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
97,-1,60.029968289920724,2.550550909090909,10,1,7064.0,76.19047619047619,0.018087271082975,883,8846,88.3,884.6,10,-1,9271.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
98,-1,52.96075923970433,2.542478488372094,10,1,7576.0,76.19047619047619,0.020023184740225002,947,9489,94.7,948.9,10,-1,9943.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
99,-1,60.68867730900798,2.541775147928994,10,1,7016.0,76.19047619047619,0.025022747952684003,877,8792,87.7,879.2,10,-1,9208.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
